Name,Quantity,Component
"U1, U2",2," Arduino Uno R3"
"S1, S2, S3, S4, S5, S6, S7, S8, S9",9," Pushbutton"
"R3",1,"2000 Ω Resistor"
"R4",1,"200 Ω Resistor"
"R5",1,"400 Ω Resistor"
"R6",1,"800 Ω Resistor"
"R7",1,"1600 Ω Resistor"
"R8",1,"3200 Ω Resistor"
"R9",1,"6400 Ω Resistor"
"R10",1,"12800 Ω Resistor"
"PIEZO1",1," Piezo"
"Rpot1",1,"5 kΩ Potentiometer"
"R1, R2, R11, R12, R13, R14, R15, R16, R17, R18, R19",11,"1 kΩ Resistor"
"D1",1,"Green LED"
"U3",1," LCD 16 x 2 "
"D2, D3, D4, D5, D6, D7, D8, D9",8,"Red LED"
